DATE,TITLE,VOTER_NAME
02/08/2017,Councilmember,Jennifer S. Gates
02/08/2017,Councilmember,Philip T. Kingston
02/08/2017,Mayor,Michael S. Rawlings
02/08/2017,Councilmember,Adam Medrano
02/08/2017,Councilmember,"Casey Thomas
02/08/2017,Councilmember,Carolyn King Arnold
02/08/2017,Councilmember,Scott Griggs
02/08/2017,Councilmember,B. Adam  McGough
02/08/2017,Councilmember,Lee Kleinman
02/08/2017,Councilmember,Sandy Greyson
02/08/2017,Councilmember,Jennifer S. Gates
02/08/2017,Councilmember,Philip T. Kingston
02/08/2017,Mayor,Michael S. Rawlings
02/08/2017,Councilmember,Adam Medrano
02/08/2017,Councilmember,"Casey Thomas
02/08/2017,Councilmember,Carolyn King Arnold
02/08/2017,Councilmember,Rickey D. Callahan
01/11/2017,Councilmember,Jennifer S. Gates
04/25/2018,Councilmember,Sandy  Greyson
04/25/2018,Councilmember,Jennifer S.  Gates
04/25/2018,Councilmember,Philip T.  Kingston
04/25/2018,Mayor,Michael S. Rawlings
04/25/2018,Deputy Mayor Pro Tem,Adam Medrano
04/25/2018,Councilmember,"Casey Thomas
04/25/2018,Mayor Pro Tem,Dwaine R. Caraway
04/25/2018,Councilmember,Rickey D.  Callahan
04/25/2018,Councilmember,Omar Narvaez
04/25/2018,Councilmember,Kevin Felder
04/25/2018,Councilmember,Tennell Atkins
04/25/2018,Councilmember,Mark  Clayton
01/04/2017,Councilmember,Scott Griggs
01/04/2017,Councilmember,B. Adam  McGough
04/25/2018,Councilmember,Scott  Griggs
04/25/2018,Councilmember,B. Adam  McGough
04/25/2018,Councilmember,Lee M. Kleinman
04/25/2018,Councilmember,Sandy  Greyson
04/25/2018,Councilmember,Jennifer S.  Gates
06/20/2018,Councilmember,Philip T.  Kingston
06/20/2018,Mayor,Michael S. Rawlings
06/20/2018,Deputy Mayor Pro Tem,Adam Medrano
06/20/2018,Councilmember,"Casey Thomas
06/20/2018,Mayor Pro Tem,Dwaine R. Caraway
06/20/2018,Councilmember,Rickey D.  Callahan
06/20/2018,Councilmember,Omar Narvaez
06/20/2018,Councilmember,Kevin Felder
06/20/2018,Councilmember,Tennell Atkins
06/20/2018,Councilmember,Mark  Clayton
06/20/2018,Councilmember,Scott  Griggs
06/20/2018,Councilmember,B. Adam  McGough
06/20/2018,Councilmember,Lee M. Kleinman
06/20/2018,Councilmember,Sandy  Greyson
06/20/2018,Councilmember,Jennifer S.  Gates
06/20/2018,Councilmember,Philip T.  Kingston
06/20/2018,Mayor,Michael S. Rawlings
06/20/2018,Deputy Mayor Pro Tem,Adam Medrano
06/20/2018,Councilmember,"Casey Thomas
06/20/2018,Mayor Pro Tem,Dwaine R. Caraway
06/20/2018,Councilmember,Rickey D.  Callahan
06/20/2018,Councilmember,Omar Narvaez
06/20/2018,Councilmember,Kevin Felder
08/15/2018,Councilmember,Sandy  Greyson
08/15/2018,Councilmember,Jennifer S.  Gates
08/15/2018,Councilmember,Philip T.  Kingston
08/15/2018,Mayor,Michael S. Rawlings
08/15/2018,Deputy Mayor Pro Tem,Adam Medrano
08/15/2018,Councilmember,"Casey Thomas
08/15/2018,Vacant,
